mig_year,nat_est,nat_lwr90,nat_upr90,hat_est,hat_lwr90,hat_upr90
1994,0.2,0.17,0.22,NA,NA,NA
1995,0.41,0.32,0.56,NA,NA,NA
1996,0.44,0.35,0.55,NA,NA,NA
1997,0.51,0.33,0.82,NA,NA,NA
1998,0.61,0.54,0.69,NA,NA,NA
1999,0.59,0.53,0.68,NA,NA,NA
2000,0.48,0.41,0.58,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA
2002,0.61,0.52,0.76,0.65,0.44,1.06
2003,0.6,0.52,0.69,0.62,0.51,0.74
2004,0.4,0.33,0.51,0.48,0.34,0.72
2005,0.48,0.39,0.61,0.51,0.37,0.8
2006,0.59,0.51,0.69,0.59,0.44,0.69
2007,0.67,0.6,0.7,0.63,0.48,0.8
2008,0.58,0.52,0.66,0.82,0.57,0.89
2009,0.64,0.58,0.7,0.65,0.55,0.76
2010,0.62,0.58,0.68,0.59,0.51,0.67
2011,0.67,0.56,0.71,0.55,0.32,0.81
2012,0.68,0.59,0.78,0.55,0.45,0.65
2013,0.63,0.55,0.72,0.66,0.47,0.88
2014,0.64,0.56,0.66,0.75,0.57,0.84
2015,0.47,0.42,0.51,0.54,0.44,0.65
2016,0.55,0.47,0.64,0.56,0.48,0.62
2017,0.41,0.23,0.63,0.58,0.36,0.67
2018,0.49,0.39,0.6,0.66,0.48,0.74
2019,0.63,0.5,0.79,0.65,0.46,0.78
