year,origin,BON_adult_detections,LGR_adult_detections
2000,NOR,4,4
2001,NOR,18,17
2002,NOR,31,24
2003,NOR,43,37
2004,NOR,43,39
2005,NOR,23,21
2006,NOR,28,21
2007,NOR,23,22
2008,NOR,63,49
2009,NOR,83,72
2010,NOR,142,117
2011,NOR,173,128
2012,NOR,84,64
2013,NOR,66,58
2014,NOR,114,86
2015,NOR,120,93
2016,NOR,86,73
2017,NOR,35,26
2018,NOR,27,22
2019,NOR,23,18
2000,HOR,19,17
2001,HOR,40,37
2002,HOR,77,65
2003,HOR,98,78
2004,HOR,168,142
2005,HOR,77,64
2006,HOR,47,35
2007,HOR,62,51
2008,HOR,151,118
2009,HOR,239,197
2010,HOR,379,299
2011,HOR,385,289
2012,HOR,190,143
2013,HOR,111,94
2014,HOR,186,144
2015,HOR,167,121
2016,HOR,72,54
2017,HOR,52,37
2018,HOR,62,41
2019,HOR,63,48
