year,NOR,HOR
1991,0.04,0.04
1992,0.017,0.017
1993,0.009,0.009
1994,0.039,0.039
1995,0.001,0.001
1996,0.001,0.001
1997,0.001,0.001
1998,0.001,0.001
1999,0.001,0.001
2000,0.002,0.002
2001,0.013,0.116
2002,0.016,0.132
2003,0.014,0.101
2004,0.019,0.149
2005,0.016,0.14
2006,0.013,0.065
2007,0.011,0.086
2008,0.024,0.18
2009,0.028,0.159
2010,0.034,0.143
2011,0.023,0.086
2012,0.019,0.108
2013,0.037,0.111
2014,0.014,0.109
2015,0.02,0.105
2016,0.023,0.106
2017,0.011,0.089
2018,0.014,0.076
2019,0.007,0.034
