"year","CAT","LOS","MIN","UGR"
1991,0.93,0.97,0.95,0.93
1992,0.93,0.97,0.95,0.93
1993,0.93,0.97,0.95,0.93
1994,0.93,0.97,0.95,0.93
1995,0.93,0.97,0.95,0.93
1996,0.93,0.97,0.95,0.93
1997,0.93,0.97,0.95,0.93
1998,0.93,0.97,0.95,0.93
1999,0.93,0.97,0.95,0.93
2000,0.93,0.97,0.95,0.93
2001,0.68,0.84,0.74,0.66
2002,0.68,0.84,0.74,0.66
2003,0.68,0.84,0.74,0.66
2004,0.68,0.84,0.74,0.66
2005,0.68,0.84,0.74,0.66
2006,0.68,0.84,0.74,0.66
2007,0.68,0.84,0.74,0.66
2008,0.68,0.84,0.74,0.66
2009,0.68,0.84,0.74,0.66
2010,0.68,0.84,0.74,0.66
2011,0.68,0.84,0.74,0.66
2012,0.68,0.84,0.74,0.66
2013,0.58,0.78,0.64,0.56
2014,0.58,0.78,0.64,0.56
2015,0.58,0.78,0.64,0.56
2016,0.58,0.78,0.64,0.56
2017,0.58,0.78,0.64,0.56
2018,0.58,0.78,0.64,0.56
2019,0.58,0.78,0.64,0.56
2020,0.58,0.78,0.64,0.56
